RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Normalized_Power,Normalized_Belt_Tension,Normalized_Load,Class_3,Class_4,Class_9,NNNormalized_Power,Load,Load1
2.165,240.678,13,75,241,25,0.26,0.79,0.87,2,2,7,0.21,3,2
2.412,236.996,13,95,272,28,0.72,1,0.87,3,4,9,0.52,3,2
2.193,240.055,3,75,245,25,0.32,0.79,0.2,2,2,7,0.25,2,2
2.163,237.079,11,85,240,24,0.25,0.89,0.73,2,3,8,0.2,3,2
2.217,237.013,7,85,246,25,0.34,0.89,0.47,2,3,8,0.26,3,2
2.417,236.878,4,95,266,27,0.63,1,0.27,3,4,9,0.46,1,1
2.203,240.195,3,75,245,25,0.32,0.79,0.2,2,2,7,0.25,2,2
2.147,240.436,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.179,240.222,0,70,237,24,0.21,0.74,0,1,1,6,0.17,0,1
2.206,239.851,14,75,246,25,0.34,0.79,0.93,2,2,7,0.26,3,2
2.437,237.324,6,95,278,28,0.81,1,0.4,3,4,9,0.58,2,2
2.412,237.31,3,95,270,27,0.69,1,0.2,3,4,9,0.5,2,2
2.404,237.049,12,95,269,27,0.68,1,0.8,3,4,9,0.49,2,2
2.155,237.098,14,85,250,25,0.4,0.89,0.93,2,3,8,0.3,3,2
2.163,240.008,2,75,242,25,0.28,0.79,0.13,2,2,7,0.22,1,1
2.169,240.263,11,75,242,25,0.28,0.79,0.73,2,2,7,0.22,3,2
2.442,237.118,3,95,275,28,0.76,1,0.2,3,4,9,0.55,2,2
2.16,240.437,9,75,241,25,0.26,0.79,0.6,2,2,7,0.21,2,2
2.154,240.727,4,75,242,25,0.28,0.79,0.27,2,2,7,0.22,1,1
2.128,240.388,0,45,233,24,0.15,0.47,0,1,1,4,0.13,0,1
2.128,240.652,0,85,238,24,0.22,0.89,0,2,3,8,0.18,0,1
2.153,240.479,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.171,240.368,15,75,247,25,0.35,0.79,1,2,2,7,0.27,4,2
2.177,240.481,3,85,242,25,0.28,0.89,0.2,2,3,8,0.22,2,2
2.162,239.923,0,75,238,24,0.22,0.79,0,2,2,7,0.18,0,1
2.164,240.556,9,75,242,25,0.28,0.79,0.6,2,2,7,0.22,2,2
2.176,240.042,4,85,245,25,0.32,0.89,0.27,2,3,8,0.25,1,1
2.146,240.436,5,75,241,25,0.26,0.79,0.33,2,2,7,0.21,2,2
2.169,239.985,15,75,246,25,0.34,0.79,1,2,2,7,0.26,4,2
2.132,240.311,0,85,238,24,0.22,0.89,0,2,3,8,0.18,0,1
2.369,237.595,1,95,265,27,0.62,1,0.07,3,4,9,0.45,1,1
2.15,240.278,2,75,242,25,0.28,0.79,0.13,2,2,7,0.22,1,1
2.18,240.673,5,85,244,25,0.31,0.89,0.33,2,3,8,0.24,2,2
2.193,240.148,3,85,243,25,0.29,0.89,0.2,2,3,8,0.23,2,2
2.181,240.838,10,75,244,25,0.31,0.79,0.67,2,2,7,0.24,2,2
2.181,240.819,5,85,243,25,0.29,0.89,0.33,2,3,8,0.23,2,2
2.371,236.851,4,95,266,27,0.63,1,0.27,3,4,9,0.46,1,1
2.186,240.744,10,75,246,25,0.34,0.79,0.67,2,2,7,0.26,2,2
2.167,237.092,14,85,246,25,0.34,0.89,0.93,2,3,8,0.26,3,2
2.172,240.442,12,85,241,25,0.26,0.89,0.8,2,3,8,0.21,2,2
2.157,240.312,8,85,241,25,0.26,0.89,0.53,2,3,8,0.21,1,1
2.118,240.166,1,70,234,24,0.16,0.74,0.07,1,1,6,0.14,1,1
2.187,240.748,10,75,244,25,0.31,0.79,0.67,2,2,7,0.24,2,2
2.158,240.465,9,75,240,24,0.25,0.79,0.6,2,2,7,0.2,2,2
2.169,240.317,12,85,241,25,0.26,0.89,0.8,2,3,8,0.21,2,2
2.155,240.413,2,75,242,25,0.28,0.79,0.13,2,2,7,0.22,1,1
2.174,240.998,12,85,241,25,0.26,0.89,0.8,2,3,8,0.21,2,2
2.177,240.789,4,85,245,25,0.32,0.89,0.27,2,3,8,0.25,1,1
2.174,240.93,10,75,243,25,0.29,0.79,0.67,2,2,7,0.23,2,2
2.204,239.992,14,75,246,25,0.34,0.79,0.93,2,2,7,0.26,3,2
2.13,240.33,0,85,237,24,0.21,0.89,0,2,3,8,0.17,0,1
2.548,236.85,7,95,285,29,0.91,1,0.47,3,4,9,0.65,3,2
2.41,237.303,14,95,273,28,0.74,1,0.93,3,4,9,0.53,3,2
2.164,236.948,11,85,240,24,0.25,0.89,0.73,2,3,8,0.2,3,2
2.159,240.207,0,75,239,24,0.24,0.79,0,2,2,7,0.19,0,1
2.159,237.128,14,85,250,25,0.4,0.89,0.93,2,3,8,0.3,3,2
2.092,240.488,0,60,232,24,0.13,0.63,0,1,1,5,0.12,0,1
2.159,236.767,6,85,240,24,0.25,0.89,0.4,2,3,8,0.2,2,2
2.499,236.905,13,95,276,28,0.78,1,0.87,3,4,9,0.56,3,2
2.156,240.175,13,75,242,25,0.28,0.79,0.87,2,2,7,0.22,3,2
2.17,240.644,9,75,241,25,0.26,0.79,0.6,2,2,7,0.21,2,2
2.139,240.802,0,45,236,24,0.19,0.47,0,1,1,4,0.16,0,1
2.532,236.895,6,95,278,28,0.81,1,0.4,3,4,9,0.58,2,2
2.432,237.207,9,95,268,27,0.66,1,0.6,3,4,9,0.48,2,2
2.119,240.009,0,30,228,23,0.07,0.32,0,1,1,3,0.08,0,1
2.161,236.922,11,85,239,24,0.24,0.89,0.73,2,3,8,0.19,3,2
2.112,240.363,0,45,231,24,0.12,0.47,0,1,1,4,0.11,0,1
2.168,240.409,4,85,245,25,0.32,0.89,0.27,2,3,8,0.25,1,1
2.175,240.303,4,85,244,25,0.31,0.89,0.27,2,3,8,0.24,1,1
2.176,239.982,14,75,245,25,0.32,0.79,0.93,2,2,7,0.25,3,2
2.387,236.85,9,95,266,27,0.63,1,0.6,3,4,9,0.46,2,2
2.196,237.418,15,85,244,25,0.31,0.89,1,2,3,8,0.24,4,2
2.157,240.521,5,75,241,25,0.26,0.79,0.33,2,2,7,0.21,2,2
2.406,237.315,8,95,265,27,0.62,1,0.53,3,4,9,0.45,1,1
2.185,236.925,15,85,243,25,0.29,0.89,1,2,3,8,0.23,4,2
2.178,240.184,7,75,246,25,0.34,0.79,0.47,2,2,7,0.26,3,2
2.36,237.061,4,95,266,27,0.63,1,0.27,3,4,9,0.46,1,1
2.106,239.722,0,0,226,23,0.04,0,0,1,1,1,0.06,0,1
2.399,237.262,4,95,266,27,0.63,1,0.27,3,4,9,0.46,1,1
2.504,237.19,11,95,272,28,0.72,1,0.73,3,4,9,0.52,3,2
2.17,240.114,15,75,246,25,0.34,0.79,1,2,2,7,0.26,4,2
2.114,240.407,1,70,233,24,0.15,0.74,0.07,1,1,6,0.13,1,1
2.163,239.507,4,75,241,25,0.26,0.79,0.27,2,2,7,0.21,1,1
2.176,240.239,9,85,243,25,0.29,0.89,0.6,2,3,8,0.23,2,2
2.132,240.743,0,85,239,24,0.24,0.89,0,2,3,8,0.19,0,1
2.37,237.394,1,95,266,27,0.63,1,0.07,3,4,9,0.46,1,1
2.439,236.744,12,95,272,28,0.72,1,0.8,3,4,9,0.52,2,2
2.138,240.168,8,75,238,24,0.22,0.79,0.53,2,2,7,0.18,1,1
2.141,240.111,1,85,240,24,0.25,0.89,0.07,2,3,8,0.2,1,1
2.174,236.955,11,85,240,24,0.25,0.89,0.73,2,3,8,0.2,3,2
2.136,240.183,0,30,232,24,0.13,0.32,0,1,1,3,0.12,0,1
2.171,240.724,9,85,242,25,0.28,0.89,0.6,2,3,8,0.22,2,2
2.363,237.858,8,95,266,27,0.63,1,0.53,3,4,9,0.46,1,1
2.169,240.702,5,75,243,25,0.29,0.79,0.33,2,2,7,0.23,2,2
2.568,237.093,7,95,279,28,0.82,1,0.47,3,4,9,0.59,3,2
2.106,238.869,0,15,228,23,0.07,0.16,0,1,1,2,0.08,0,1
2.159,240.742,8,75,242,25,0.28,0.79,0.53,2,2,7,0.22,1,1
2.158,240.419,0,85,239,24,0.24,0.89,0,2,3,8,0.19,0,1
2.136,240.141,0,85,238,24,0.22,0.89,0,2,3,8,0.18,0,1
2.098,240.208,0,60,232,24,0.13,0.63,0,1,1,5,0.12,0,1
2.145,239.438,0,15,230,23,0.1,0.16,0,1,1,2,0.1,0,1
2.405,237.136,12,95,272,28,0.72,1,0.8,3,4,9,0.52,2,2
2.426,237.417,10,95,272,28,0.72,1,0.67,3,4,9,0.52,2,2
2.167,241.09,12,85,243,25,0.29,0.89,0.8,2,3,8,0.23,2,2
2.201,240.459,12,75,245,25,0.32,0.79,0.8,2,2,7,0.25,2,2
2.144,239.758,0,15,232,24,0.13,0.16,0,1,1,2,0.12,0,1
2.135,239.511,0,15,232,24,0.13,0.16,0,1,1,2,0.12,0,1
2.151,240.469,0,85,239,24,0.24,0.89,0,2,3,8,0.19,0,1
2.19,237.105,15,85,243,25,0.29,0.89,1,2,3,8,0.23,4,2
2.182,240.359,7,75,246,25,0.34,0.79,0.47,2,2,7,0.26,3,2
2.18,240.089,2,85,246,25,0.34,0.89,0.13,2,3,8,0.26,1,1
2.198,240.055,10,85,244,25,0.31,0.89,0.67,2,3,8,0.24,2,2
2.198,240.378,12,75,246,25,0.34,0.79,0.8,2,2,7,0.26,2,2
2.177,240.52,15,75,246,25,0.34,0.79,1,2,2,7,0.26,4,2
2.175,240.618,5,85,244,25,0.31,0.89,0.33,2,3,8,0.24,2,2
2.428,236.754,7,95,278,28,0.81,1,0.47,3,4,9,0.58,3,2
2.135,240.13,0,30,232,24,0.13,0.32,0,1,1,3,0.12,0,1
2.166,236.884,14,85,249,25,0.38,0.89,0.93,2,3,8,0.29,3,2
2.18,240.096,4,85,244,25,0.31,0.89,0.27,2,3,8,0.24,1,1
2.403,236.84,11,95,272,28,0.72,1,0.73,3,4,9,0.52,3,2
2.158,237.569,13,85,239,24,0.24,0.89,0.87,2,3,8,0.19,3,2
2.152,239.967,11,75,240,24,0.25,0.79,0.73,2,2,7,0.2,3,2
2.104,240.312,0,60,233,24,0.15,0.63,0,1,1,5,0.13,0,1
2.147,240.199,8,75,240,24,0.25,0.79,0.53,2,2,7,0.2,1,1
2.168,240.935,5,85,243,25,0.29,0.89,0.33,2,3,8,0.23,2,2
2.392,237.614,1,95,266,27,0.63,1,0.07,3,4,9,0.46,1,1
2.115,239.575,0,30,227,23,0.06,0.32,0,1,1,3,0.07,0,1
2.178,240.865,13,75,242,25,0.28,0.79,0.87,2,2,7,0.22,3,2
2.204,240.654,3,75,245,25,0.32,0.79,0.2,2,2,7,0.25,2,2
2.168,236.875,13,85,240,24,0.25,0.89,0.87,2,3,8,0.2,3,2
2.331,237.254,8,95,262,27,0.57,1,0.53,3,4,9,0.42,1,1
2.25,237.185,7,85,250,25,0.4,0.89,0.47,2,3,8,0.3,3,2
2.148,240.142,8,75,239,24,0.24,0.79,0.53,2,2,7,0.19,1,1
2.483,237.553,15,95,281,29,0.85,1,1,3,4,9,0.61,4,2
2.217,239.959,6,75,246,25,0.34,0.79,0.4,2,2,7,0.26,2,2
2.184,240.498,10,75,245,25,0.32,0.79,0.67,2,2,7,0.25,2,2
2.166,240.064,11,75,242,25,0.28,0.79,0.73,2,2,7,0.22,3,2
2.096,239.99,0,60,232,24,0.13,0.63,0,1,1,5,0.12,0,1
2.469,237.515,10,95,272,28,0.72,1,0.67,3,4,9,0.52,2,2
2.19,236.808,15,85,243,25,0.29,0.89,1,2,3,8,0.23,4,2
2.161,240.832,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.184,240.69,10,85,244,25,0.31,0.89,0.67,2,3,8,0.24,2,2
2.173,240.39,1,85,243,25,0.29,0.89,0.07,2,3,8,0.23,1,1
2.196,240.589,12,75,246,25,0.34,0.79,0.8,2,2,7,0.26,2,2
2.195,240.617,12,75,245,25,0.32,0.79,0.8,2,2,7,0.25,2,2
2.481,237.086,3,95,271,28,0.71,1,0.2,3,4,9,0.51,2,2
2.198,236.564,15,85,243,25,0.29,0.89,1,2,3,8,0.23,4,2
2.176,240.464,1,85,243,25,0.29,0.89,0.07,2,3,8,0.23,1,1
2.162,240.615,1,85,242,25,0.28,0.89,0.07,2,3,8,0.22,1,1
2.14,240.224,0,85,239,24,0.24,0.89,0,2,3,8,0.19,0,1
2.151,240.535,8,85,241,25,0.26,0.89,0.53,2,3,8,0.21,1,1
2.138,239.465,0,15,230,23,0.1,0.16,0,1,1,2,0.1,0,1
2.176,240.565,1,85,244,25,0.31,0.89,0.07,2,3,8,0.24,1,1
2.161,240.772,9,75,240,24,0.25,0.79,0.6,2,2,7,0.2,2,2
2.137,240.097,0,30,232,24,0.13,0.32,0,1,1,3,0.12,0,1
2.187,240.611,7,75,246,25,0.34,0.79,0.47,2,2,7,0.26,3,2
2.101,239.977,0,60,231,24,0.12,0.63,0,1,1,5,0.11,0,1
2.145,239.636,0,15,232,24,0.13,0.16,0,1,1,2,0.12,0,1
2.121,240.602,1,70,234,24,0.16,0.74,0.07,1,1,6,0.14,1,1
2.169,240.181,4,85,245,25,0.32,0.89,0.27,2,3,8,0.25,1,1
2.107,238.558,0,15,227,23,0.06,0.16,0,1,1,2,0.07,0,1
2.145,240.469,0,85,239,24,0.24,0.89,0,2,3,8,0.19,0,1
2.39,237.139,9,95,268,27,0.66,1,0.6,3,4,9,0.48,2,2
